Title,Subtitle,Price,Num,Color
Jordan Flight Essentials,Men's Printed T-Shirt,"{'currency': 'GBP', 'currentPrice': 39.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 39.99, 'minimumAdvertisedPrice': None}",,
Jordan Sport,Women's Tunnel Trousers,"{'currency': 'GBP', 'currentPrice': 109.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 109.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Mid,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 64.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 64.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 6 Retro 'White and Midnight Navy',Men's Shoes,"{'currency': 'GBP', 'currentPrice': 189.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 189.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Low SE,Women's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Rise Cap,Adjustable Hat,"{'currency': 'GBP', 'currentPrice': 29.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 29.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 44.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 44.99, 'minimumAdvertisedPrice': None}",,
Jordan Post,Older Kids' Slides,"{'currency': 'GBP', 'currentPrice': 17.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 17.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 54.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
Air Jordan Legacy 312 Low,Older Kids' Shoe,"{'currency': 'GBP', 'currentPrice': 51.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 79.99, 'minimumAdvertisedPrice': None}",,
Jordan Stay Loyal 3,Men's shoes,"{'currency': 'GBP', 'currentPrice': 71.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 109.99, 'minimumAdvertisedPrice': None}",,
Jordan Spizike Low,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 59.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 59.99, 'minimumAdvertisedPrice': None}",,
Air Jordan Legacy 312 Low,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 84.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan Stadium 90,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 129.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 129.99, 'minimumAdvertisedPrice': None}",,
Jordan 1 Mid,Baby/Toddler Shoes,"{'currency': 'GBP', 'currentPrice': 49.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 49.99, 'minimumAdvertisedPrice': None}",,
Jordan Stay Loyal 3,Men's shoes,"{'currency': 'GBP', 'currentPrice': 65.99, 'discounted': True, 'employeePrice': None, 'fullPrice': 109.99, 'minimumAdvertisedPrice': None}",,
Jordan One Take 5,Basketball Shoes,"{'currency': 'GBP', 'currentPrice': 58.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 89.99, 'minimumAdvertisedPrice': None}",,
Air Jordan 1 Hi FlyEase,Men's Shoes,"{'currency': 'GBP', 'currentPrice': 122.49, 'discounted': True, 'employeePrice': None, 'fullPrice': 174.95, 'minimumAdvertisedPrice': None}",,
Jordan 1 Low Alt,Younger Kids' Shoes,"{'currency': 'GBP', 'currentPrice': 54.99, 'discounted': False, 'employeePrice': None, 'fullPrice': 54.99, 'minimumAdvertisedPrice': None}",,
